text,label
National Lottery Board: Ticket WX-4421 won Rs 15 Lakh. Deposit tax Rs 2000 to claim.,Lottery Scam
"To process your loan application, share the OTP 889923 with our executive immediately.",OTP Scam
Income Tax Dept: Your PAN card is deactivated. Update at: http://pan-verify.gov.in.xyz,Phishing
Govt of India Housing Lottery: You have been allotted a flat. Confirm payment of Rs 5000.,Lottery Scam
Your driving licence renewal is due next month.,Safe
HDFC Bank: Please share the verification code 774412 with our relationship manager.,OTP Scam
"Zomato home kitchen job: Cook at home, earn Rs 50,000/month. Pay Rs 1000 onboarding fee.",Job Scam
"Immediate hiring: Online tutor for kids. Earn Rs 25,000/month. No experience needed.",Job Scam
Corona Relief Fund Lottery: You won Rs 1.5 Lakh. Pay Rs 750 clearance fee to claim.,Lottery Scam
Thank you for visiting Apollo Hospital. Please share your feedback.,Safe
Your Netflix OTP is 667123. Share with support to unlock your premium account.,OTP Scam
Your NEFT transfer of Rs 25000 is pending approval. Authorize: http://neft-verify.xyz,Phishing
Freelance content writing job. Earn Rs 1 per word from home. Freshers welcome. Apply now.,Job Scam
Policy Bazaar: Share OTP 443298 to confirm your insurance premium payment.,OTP Scam
"Amazon seller job: Manage listings from home. Rs 40,000/month. Deposit Rs 2000 to begin.",Job Scam
BSNL: Your broadband OTP for plan upgrade is 443391. Please share to activate.,OTP Scam
"Dear winner, share OTP 881123 with our lottery team to receive your prize amount.",OTP Scam
Tata Play subscriber lottery: You have won Rs 5000 recharge. Click to claim now.,Lottery Scam
Your Zomato Pro renewal OTP is 778834. Share with support to apply discount.,OTP Scam
You have won the Maruti Suzuki Lucky Customer contest! Claim your Swift car now.,Lottery Scam
Society meeting on Sunday at 6pm. Attendance is important.,Safe
"Earn by placing stickers on your car. Rs 15,000/month. Pay Rs 500 security and start.",Job Scam
"Earn from YouTube without making videos. Rs 50,000/month guaranteed. Pay Rs 1499 to join.",Job Scam
Your Aadhaar is linked to suspicious activity. Confirm identity: http://aadhaar-safe.in,Phishing
Please share OTP 445567 to confirm your voter ID update with our election team.,OTP Scam
Home-based quality check job. Earn Rs 1000/day. Freshers accepted. Contact HR on WhatsApp.,Job Scam
"Dear Winner, transfer processing fee Rs 1999 to receive your prize money of Rs 2 Lakh.",Lottery Scam
Myntra account compromised. Change your password now: http://myntra-secure.xyz,Phishing
Tution fees for this quarter: Rs 6000. Due by 10th.,Safe
"Jio helpline: To restore your SIM, share the OTP 331245 with our executive.",OTP Scam
Your DigiLocker documents have been accessed. Review: http://digilocker-alert.in,Phishing
"Part-time job offer: Like and share posts on social media, earn Rs 800 per task. WhatsApp us.",Job Scam
"Dear user, your electricity connection has an overdue amount. Pay: http://bescom-pay.in",Phishing
Google Pay fraud alert: Share OTP 998812 to dispute the unauthorized transaction.,OTP Scam
Your health insurance policy has lapsed. Renew now: http://insurance-renew.in,Phishing
"You are selected for a free holiday package to Shimla worth Rs 20,000. Claim now.",Lottery Scam
Your Aadhaar-linked number won Rs 1 Crore in the National Digital Lottery.,Lottery Scam
"Dear winner, your lottery ticket number 87234 has won Rs 30 Lakh. Call us now.",Lottery Scam
BSNL: Your broadband connection will be suspended. Pay here: http://bsnl-pay.in,Phishing
"Swiggy refund team: To credit Rs 450 back, share the OTP 338871 with our agent.",OTP Scam
Hostel curfew is 10pm tonight due to maintenance work.,Safe
Team lunch is at 1pm. We're going to the usual place.,Safe
Your ICICI net banking is disabled. Re-enable by verifying: http://icici-netbank.info,Phishing
Your SBI account has been suspended. Verify immediately: http://sbi-secure-login.xyz,Phishing
Bank of Baroda: Your debit card is blocked. Reactivate: http://bob-card.co,Phishing
Bank agent here. We are processing your KYC. Share the OTP you received to proceed.,OTP Scam
"Union Bank Lucky Customer: You won gold coins worth Rs 30,000. Collect at branch.",Lottery Scam
Congratulations from WhatsApp! Your number won Rs 2 Lakh in our anniversary draw.,Lottery Scam
"Zerodha: To verify your trading account, share OTP 556643 with our executive.",OTP Scam
"Coding job from home for freshers. Rs 50,000/month. No degree needed. Contact us on Telegram.",Job Scam
Lottery commission: Your entry # 4421 won first prize. Deposit tax of Rs 3000 to claim.,Lottery Scam
Your Swiggy account shows suspicious order. Report: http://swiggy-dispute.xyz,Phishing
Your pan card is linked to the winner list. Prize Rs 8 Lakh. Process through our team.,Lottery Scam
Government contract packing job. Earn Rs 800/day. Pay security deposit Rs 1500 to start.,Job Scam
This is Amazon customer care. Your refund OTP is 773821. Please share it with our agent.,OTP Scam
Bhai kal college aa raha hai kya? Maths class hai.,Safe
"Hi, I'm calling from SBI. Please share the OTP sent to your number to complete verification.",OTP Scam
Your EPF account shows irregular activity. Login to verify: http://epfo-secure.net,Phishing
Hindi typing job from home. Rs 1.5 per word. Earn Rs 1000 daily. Register for Rs 199.,Job Scam
Your UPI payment of Rs 250 to Swiggy was successful.,Safe
The electricity bill for this month is Rs 840. Due date: 20th.,Safe
HDFC Bank Alert: Unusual login detected. Click to secure your account: http://hdfc-verify.net,Phishing
Urgent: Your Jio SIM will be deactivated in 24 hours. Verify: http://jio-kyc.net,Phishing
HDFC: OTP 887723 will verify the new payee you added. Share with our agent.,OTP Scam
"Congrats! Your mobile number is the lucky winner of our summer draw worth Rs 20,000.",Lottery Scam
Can you send me the notes from today's lecture?,Safe
Earn Rs 1 Lakh/month sitting at home. Investment: Rs 2000. Returns guaranteed. Call now.,Job Scam
GPay: Rs 9999 deduction alert. If not done by you: http://gpay-dispute.in,Phishing
Work from home packing job: Rs 20 per unit. Earn Rs 800-1200 daily. Register on Telegram.,Job Scam
"Swiggy hiring delivery partners: Earn Rs 70,000/month. Training fee Rs 1500. Apply now.",Job Scam
Work from home opportunity! Type and earn. Rs 300 per page. Contact on Telegram now.,Job Scam
Amazon Pay: Wallet balance deducted Rs 3500. Not you? Click: http://amazonpay-dispute.co,Phishing
"Axis Bank: To reactivate your credit card, share OTP 881234 with our executive.",OTP Scam
Office will remain closed on account of public holiday tomorrow.,Safe
"Flipkart partner job: Handle returns from home. Earn Rs 30,000/month. Training fee Rs 1000.",Job Scam
Your Netflix account will expire today. Update payment: http://netflix-renew.xyz,Phishing
Movie starts at 7:30. Let's meet at the gate by 7.,Safe
Paytm KYC agent: We have sent you an OTP. Share it now to upgrade your wallet limit.,OTP Scam
Reminder: Aadhaar card linking deadline is end of this month.,Safe
Your 2FA code is 338812. Reply with this code to complete registration with our team.,OTP Scam
"Upwork remote job: Translation work, Rs 1500 per document. Deposit Rs 700 for training.",Job Scam
"Hey, are we still meeting for the study group at 5pm?",Safe
"Dear Customer, your UPI ID won Rs 1 Lakh in our quarterly lucky draw. Contact us.",Lottery Scam
Amazon Prime: Share OTP 334498 to continue your membership without interruption.,OTP Scam
"Work from home peon job for retired persons. Rs 20,000/month. Apply on Telegram now.",Job Scam
PhonePe: Your linked bank account is being transferred. Stop it: http://phonepe-alert.co,Phishing
BPCL customer draw: You won a free petrol voucher worth Rs 5000. Claim immediately.,Lottery Scam
Airtel: Your mobile number will be ported unless verified: http://airtel-stop.net,Phishing
"Dear customer, you are the jackpot winner! Rs 10 Lakh waiting. Pay Rs 500 to claim.",Lottery Scam
Congratulations! Your number won the Jio Gold Offer. Claim Rs 1 Lakh today.,Lottery Scam
Reminder: yoga class tomorrow at 6am. Please bring your mat.,Safe
Your order has been delivered. Please collect from the gate.,Safe
Ola support: Share the driver OTP 443219 with our team to investigate your complaint.,OTP Scam
URGENT: Your Paytm wallet is at risk. Verify your details: http://paytm-secure.xyz,Phishing
Hire yourself! Resell our products and earn 40% commission. Pay Rs 999 starter kit fee.,Job Scam
Bulk SMS job from home. Rs 10 per message sent. Earn Rs 800 daily. WhatsApp to join.,Job Scam
"Myntra: To process your return pickup, share OTP 993387 with our logistics team.",OTP Scam
Part time job — post links on Google and earn Rs 2000 daily. No experience needed.,Job Scam
WhatsApp: Your account will be banned for policy violation. Appeal: http://wa-appeal.co,Phishing
You have won a gold coin in HDFC Bank's 50th anniversary celebration. Claim today.,Lottery Scam
Bank of India fraud team: OTP 991128 sent. Share immediately to block the transfer.,OTP Scam
Zepto: Unusual login on your account. Secure it now: http://zepto-secure.xyz,Phishing
"BPO job from home: International voice process. Rs 40,000/month. Deposit Rs 2000 to enroll.",Job Scam
Your Paytm Postpaid OTP is 776634. Share with our credit team to increase limit.,OTP Scam
"Mess menu for today: Dal, Rice, Paneer, Roti, Salad.",Safe
Your blood test results are normal. No action needed.,Safe
"Hiring home-based recruitment agents. Earn Rs 30,000/month. No investment. Telegram only.",Job Scam
Good morning! Don't forget the assignment is due tonight.,Safe
Hi this is Flipkart support. Share the OTP on your screen to approve your refund request.,OTP Scam
Google account recovery OTP: 449921. Share with our helpdesk to restore your access.,OTP Scam
Lucky draw winner! You have won a free trip to Dubai. Limited time offer — claim now.,Lottery Scam
Congratulations! Our system selected your number for a free laptop. Claim today.,Lottery Scam
Ration card update required by govt order. Submit details: http://ration-update.co,Phishing
"Paytm Gold Offer: You won Rs 75,000 cashback. Tap the link to redeem immediately.",Lottery Scam
You are the lucky winner of an iPhone 15 Pro! Tap to claim your reward now.,Lottery Scam
Your UAN is about to expire. Renew by clicking: http://uan-renew.net,Phishing
Airtel executive: Your SIM upgrade OTP is 554423. Please share to complete porting.,OTP Scam
Airtel Surprise: You are our 1 crore subscriber! Claim your Rs 1 Lakh reward.,Lottery Scam
Your EPF withdrawal OTP is 998821. Share with EPFO agent to release funds.,OTP Scam
IRCTC customer care: Share OTP 229983 to cancel and refund your ticket immediately.,OTP Scam
Online job: Typing work from home. Earn Rs 500/hour. No investment. Join our team today.,Job Scam
Paytm payment of Rs 120 to Reliance Petrol Pump successful.,Safe
Amazon: Your account is locked due to multiple failed logins. Unlock: http://amazon-verify.co,Phishing
The project deadline has been extended to next Monday.,Safe
Amazon: Suspicious return request on your order. Review: http://amazon-review.co,Phishing
SIM card block OTP is 229934. Share with Airtel agent to prevent deactivation.,OTP Scam
Join our MLM team and earn Rs 1 Lakh/month. No fixed working hours. Contact on WhatsApp.,Job Scam
"To verify your identity for the prize transfer, please share the OTP sent to your mobile.",OTP Scam
Your mutual fund redemption OTP is 776643. Share with advisor to release funds.,OTP Scam
Your number has been picked in our monthly bumper draw. Prize: Rs 3 Lakh. Call now.,Lottery Scam
KBC Season 15: Your number was randomly selected. Prize is Rs 25 Lakh. Contact us.,Lottery Scam
Easy online job: Copy paste work from home. Rs 400 per hour. Register for Rs 199 only.,Job Scam
"Dear user, share OTP 445521 with our team to complete Aadhaar linking process.",OTP Scam
The internship letter has been mailed to your college email.,Safe
"Pharma company hiring home-based medical coders. Rs 40,000/month. Deposit Rs 2500 to join.",Job Scam
"Tele-caller job from home: No targets, Rs 20,000/month + incentives. WhatsApp your resume.",Job Scam
Your LIC policy premium is overdue. Pay to avoid lapse: http://lic-pay.net,Phishing
Kotak Bank: Login attempt from unknown location. Secure account: http://kotak-login.co,Phishing
Your Zomato order is out for delivery. ETA 15 mins.,Safe
"Google is looking for home-based data entry staff. Rs 45,000/month. No experience needed.",Job Scam
Your Amazon package will arrive between 2pm and 6pm today.,Safe
"Congratulations! Amazon India has selected you for a Rs 50,000 annual gift. Claim now.",Lottery Scam
"Reliance Jio Gift: Claim your free 4G mobile worth Rs 12,000. Offer valid today only.",Lottery Scam
Your SIM card has been flagged for misuse. Verify at: http://dotgov-sim.net,Phishing
"To stop the unauthorized Rs 8000 debit, share OTP 993345 with our fraud team.",OTP Scam
Seminar on cybersecurity tomorrow at 3pm. Open to all students.,Safe
"MNC is hiring remote customer support. Rs 45,000/month. Training starts Monday. Apply now.",Job Scam
"Remote accounting job available. Rs 35,000/month. Send resume to our HR on Telegram.",Job Scam
Your bank reversal OTP is 667743. Share with our team to recover the failed amount.,OTP Scam
"Google Alert: Your Gmail password was changed. If not you, click: http://gmail-secure.xyz",Phishing
"We are hiring! Work from home, earn Rs 50,000/month. No experience needed. Contact HR on Telegram.",Job Scam
Your credit score update requires PAN verification. Check: http://pan-check.xyz,Phishing
"You are the 10 millionth Airtel user! Prize: Rs 25,000 gift card. Click to receive.",Lottery Scam
Your KYC is incomplete. Update now or your account will be closed: http://kyc-update.in,Phishing
"Your email won the UK National Lottery. Claim GBP 500,000 at our office.",Lottery Scam
PhonePe support: OTP 112347 has been sent. Share it to deactivate suspicious activity.,OTP Scam
New semester timetable is uploaded on the college website.,Safe
Swiggy Super Winner: You have won free meals for a year! Confirm number to claim.,Lottery Scam
Your health insurance claim OTP is 771234. Share with agent to process Rs 25000.,OTP Scam
Water supply will be interrupted on Sunday 9am to 1pm.,Safe
IndiGo support: Share OTP 445512 with our agent to rebook your cancelled flight.,OTP Scam
"Stock photo upload job: Upload 10 photos daily, earn Rs 5000/month. Register for Rs 299.",Job Scam
Your SBI credit card OTP is 334421. Share with banker to waive the annual fee.,OTP Scam
Flipkart Security: Someone accessed your account from a new device. Verify: http://flipkart-login.net,Phishing
Your DigiLocker OTP is 556634. Share with Govt agent to update your documents.,OTP Scam
Please rate your ride with Ola. 5 stars means a lot.,Safe
State Bank: We noticed your account is accessed from 2 IPs. Verify: http://sbi-ip-check.net,Phishing
Urgent: UAN number deactivation notice. Log in: http://uan-portal.xyz,Phishing
Class cancelled today. Sir is unwell. Check portal for updates.,Safe
Your voter ID has an error. Correct before election: http://eci-verify.net,Phishing
IRCTC Lucky Traveller: You won a free train ticket. Click to claim before midnight.,Lottery Scam
Please share the OTP 334421 with our executive to process your PF advance claim.,OTP Scam
EPFO: Your PF claim was rejected. Resubmit with verification: http://pf-resubmit.net,Phishing
Earn Rs 5000 daily by just posting on Instagram. Join our influencer program. Pay Rs 999.,Job Scam
Canara Bank: Account holder verification required. Update: http://canara-kyc.net,Phishing
Fee payment last date is 15th of this month.,Safe
Jio Cinema annual contest: You won a 65-inch Smart TV! Delivery in 3 days if you confirm.,Lottery Scam
Happy Diwali from all of us! Stay safe and enjoy.,Safe
"PayPal lottery: Your account is selected. Prize USD 10,000. Verify to receive.",Lottery Scam
Exam hall ticket is now available on the university portal.,Safe
"Dear User, your CIBIL score dropped due to fraud. Check now: http://cibil-verify.in",Phishing
You won the Flipkart Jackpot Draw! Prize Rs 1 Lakh. Redeem on our official portal.,Lottery Scam
Your complaint has been registered. Ticket number: 8843221.,Safe
Our team needs OTP 667712 to complete your vehicle insurance renewal. Please share.,OTP Scam
Your IRCTC ticket PNR 4521876 is confirmed. Train departs 06:15.,Safe
Please carry your ID card for the campus event tomorrow.,Safe
Congratulations! You have won Rs 25 Lakh in the KBC Lucky Draw. Call 9876543210 to claim.,Lottery Scam
"Naukri.com partner: Upload 10 resumes daily from home, earn Rs 20,000/month. Apply now.",Job Scam
"To complete KYC and activate Rs 10000 limit, share the OTP 993312.",OTP Scam
You have been selected in the PM Relief Lottery. Prize: Rs 5 Lakh. Claim now.,Lottery Scam
Share OTP 662219 received on your number with our helpline to claim your cashback.,OTP Scam
Your PF withdrawal request has been processed successfully.,Safe
India Post Lottery: You won Rs 8 Lakh. Deposit Rs 2500 processing fee to claim.,Lottery Scam
"Dear customer, your UPI ID has been blocked. Reactivate here: http://upi-help.co",Phishing
"BigBasket Festive Jackpot: You won a grocery hamper worth Rs 10,000. Claim now.",Lottery Scam
Your electricity connection will be restored by 5pm today.,Safe
"Dear customer, to reverse the failed transaction share OTP 543219 with our team.",OTP Scam
Paytm: Share OTP 778812 with our tech team to resolve your payment failure.,OTP Scam
BSNL Lucky Customer: You have won Rs 10 Lakh. Contact our agent to receive your prize.,Lottery Scam
Annual maintenance charge of Rs 1500 is due next week.,Safe
You are the lucky winner of the TATA Motors car giveaway! Reply YES to claim.,Lottery Scam
Weekend job from home: Data collection Rs 800/day. No experience. Register for free.,Job Scam
Video editing job from home. Rs 1000 per video. Freshers welcome. Contact HR on WhatsApp.,Job Scam
WhatsApp security OTP 447712 must be shared with support to avoid account ban.,OTP Scam
Govt portal: Income tax refund of Rs 8420 is pending. Claim: http://itrefund.in,Phishing
Your IRCTC account has been flagged. Verify your identity: http://irctc-secure.xyz,Phishing
"Simple SMS sending job from home. Earn Rs 25,000/month. Deposit Rs 799 to get starter kit.",Job Scam
Railway refund OTP 667789 — please share with IRCTC agent to initiate refund.,OTP Scam
"NFT art job from home. No skills needed. Earn Rs 60,000/month. Join our group on Telegram.",Job Scam
Your PF withdrawal is on hold. Complete verification: http://epf-verify.net,Phishing
Reminder: your dentist appointment is tomorrow at 11am.,Safe
Your income tax refund OTP is 556643. Share with our CA to process the amount.,OTP Scam
You have won the Govt of India skill lottery prize of Rs 3 Lakh. Apply at our portal.,Lottery Scam
Your passport application status: document missing. Upload: http://passport-fix.net,Phishing
Diwali Bumper Lottery: Ticket 3344 won! Claim Rs 12 Lakh by depositing Rs 1500 fee.,Lottery Scam
Captcha typing job from home. Earn Rs 500-1000 daily. No experience needed. Apply today.,Job Scam
Indian Post: Your courier requires customs clearance payment: http://indpost-pay.in,Phishing
"Hi, this is Dr Mehta's clinic. Your report is ready for collection.",Safe
Urgent: 50 home-based data entry executives needed. Rs 20 per entry. Contact HR on Telegram.,Job Scam
BHIM UPI: Your VPA is linked to fraud report. Delink: http://bhim-delink.in,Phishing
"Dear customer, OTP bypass detected on your account. Fix: http://otp-breach.co",Phishing
Workshop registration closes tomorrow. Limited seats available.,Safe
The canteen will be closed tomorrow due to maintenance.,Safe
Congrats on your result! You passed with distinction.,Safe
RBI Lottery Division: Your account number won Rs 45 Lakh. Contact to receive funds.,Lottery Scam
The cricket match has been rescheduled to 4pm tomorrow.,Safe
Earn from home by reviewing products. Rs 500 per review. Join our WhatsApp group now.,Job Scam
Your Jio recharge of Rs 239 is successful. Valid 28 days.,Safe
RBI Notice: Your bank account will be frozen. Verify KYC at: http://rbi-kyc.co.in.net,Phishing
Your PhonePe KYC expires in 2 hours. Renew: http://phonepe-kyc.in,Phishing
Your UPI OTP 556677 must be shared with our team to link your new account.,OTP Scam
SBI fraud team: We blocked a transaction. Share OTP 881234 to confirm it was you.,OTP Scam
Reminder: staff meeting tomorrow at 10am in conference room 2.,Safe
Power cut scheduled in your area from 10am to 2pm.,Safe
